Alpha,q,delta_e,CD,CL,Cm
0.082935055,0.174032757,-0.083458602,-0.032557269,0.097129301,0.029684318
0.081025687,0.172231379,-0.077302981,-0.030041387,0.095843484,0.026602393
0.079023126,0.170184881,-0.054613121,-0.018114603,0.096181014,0.012644375
0.077042068,0.169019416,-0.067711688,-0.026652619,0.092949935,0.022245143
0.075078487,0.168020183,-0.074726205,-0.031700404,0.090420277,0.027786248
0.073141606,0.167288351,-0.069429538,-0.029690434,0.089285538,0.025126371
0.071256829,0.166748373,-0.079092403,-0.036211922,0.086649436,0.032323471
0.069352367,0.165601587,-0.072077886,-0.033202026,0.085620115,0.028574854
0.067385277,0.163896522,-0.060697141,-0.027726933,0.084867761,0.022041315
0.065423027,0.162802514,-0.054613121,-0.025279911,0.083707238,0.018923153
0.063536366,0.162366338,-0.073795707,-0.037249041,0.080083704,0.032408983
0.061711618,0.162150518,-0.069429538,-0.035712286,0.079065211,0.030246573
0.059884206,0.161120604,-0.077302981,-0.041179791,0.076543048,0.036309093
0.057908021,0.158673574,-0.045880753,-0.024242979,0.077729559,0.016618385
0.055810738,0.156025602,-0.037148386,-0.020351859,0.076360638,0.012027028
0.053704457,0.15450538,-0.037148386,-0.021461493,0.074335387,0.013055068
0.051632316,0.15339192,-0.063345489,-0.037541721,0.06965376,0.03135599
0.049528699,0.152059626,-0.045021828,-0.028166233,0.069623896,0.02022287
0.047480661,0.151397521,-0.054613121,-0.034732878,0.066837049,0.027453077
0.045409917,0.150005493,-0.059838245,-0.03881334,0.06431594,0.031908479
0.043220382,0.147708977,-0.032782187,-0.024487034,0.064908216,0.015168274
0.040978646,0.145711161,-0.032782187,-0.025668058,0.062658566,0.016318531
0.038682988,0.143677346,-0.037148386,-0.029375644,0.05989382,0.020385647
0.036369886,0.142174228,-0.028415989,-0.025598074,0.058638306,0.01570845
0.034187562,0.142175805,-0.047598604,-0.037723006,0.054891021,0.029242971
0.032107982,0.14216616,-0.065063339,-0.048811006,0.051403966,0.041602469
0.030025317,0.141358302,-0.045021828,-0.038441682,0.051702358,0.029246896
0.027920238,0.140025227,-0.041514555,-0.037544063,0.050096476,0.027924983
0.025807883,0.138872652,-0.028415989,-0.031162732,0.049548583,0.020228664
0.023774202,0.138452729,-0.043232405,-0.04071126,0.046277371,0.030877565
0.021811206,0.138224598,-0.045021828,-0.042769291,0.044493111,0.032845774
0.019923212,0.138114342,-0.045880753,-0.044255361,0.042895592,0.034151846
0.018092098,0.13785185,-0.045880753,-0.045220154,0.041396232,0.034889939
0.016262639,0.137012019,-0.039725132,-0.042662113,0.040409415,0.031636686
0.014375069,0.135441979,-0.028415989,-0.037186177,0.039744024,0.025100951
0.01241454,0.133552163,-0.017894198,-0.032199102,0.0388587,0.019161536
0.010426694,0.132011143,-0.017035273,-0.032754949,0.037011515,0.019579191
0.00849527,0.131403301,-0.024049819,-0.03778587,0.034602736,0.025051022
0.006659446,0.131342145,-0.038866207,-0.047230124,0.03157508,0.035571607
0.004925163,0.131655993,-0.036217888,-0.046628651,0.030575437,0.034434317
0.003332508,0.132397617,-0.046739679,-0.053487695,0.028393187,0.04190015
0.001879369,0.133356205,-0.045880753,-0.053761824,0.027583136,0.041745293
0.000558274,0.134255546,-0.051105848,-0.0574473,0.026215429,0.045577087
-0.000688142,0.134667926,-0.043232405,-0.053599276,0.026177471,0.040779308
-0.001873002,0.134860622,-0.037148386,-0.050742653,0.025943244,0.037175197
-0.002983963,0.135130689,-0.036217888,-0.050795587,0.025238446,0.036943753
-0.003975807,0.135937117,-0.038007311,-0.052341897,0.024470718,0.038388654
-0.004818293,0.137127429,-0.049388027,-0.059297158,0.022895876,0.046070535
-0.005549849,0.138130294,-0.047598604,-0.058658772,0.022760945,0.045017401
-0.006209162,0.138715554,-0.044091331,-0.056999474,0.022761719,0.042860855
-0.006806725,0.139185813,-0.036217888,-0.052809585,0.02324637,0.037806703
-0.007373623,0.139175851,-0.040584057,-0.055606342,0.022335612,0.040915801
-0.007912683,0.139292483,-0.023119322,-0.045898077,0.023797634,0.029540839
-0.008297902,0.140509498,-0.043232405,-0.057608536,0.021659805,0.04282602
-0.008512487,0.142277072,-0.051964773,-0.062717686,0.021001234,0.048429366
-0.008591583,0.143820665,-0.058120395,-0.066281274,0.02066713,0.052307864
-0.008619876,0.144582414,-0.046739679,-0.059784801,0.022042519,0.044671053
-0.008584015,0.145363918,-0.038007311,-0.054769713,0.023191687,0.038760329
-0.008443395,0.146453806,-0.047598604,-0.060183254,0.022552323,0.044896656
-0.008157867,0.148205907,-0.046739679,-0.059541401,0.02330086,0.0439606
-0.007705407,0.150170667,-0.065922265,-0.070278167,0.022103368,0.056199352
-0.007201202,0.151226843,-0.053754196,-0.063050651,0.024052506,0.047794379
-0.006690305,0.151617676,-0.043232405,-0.056761508,0.025667162,0.04057506
-0.006156345,0.152046518,-0.037148386,-0.052999302,0.026837783,0.036279654
-0.005597145,0.152373312,-0.045021828,-0.057209427,0.026519877,0.041231238
-0.005016019,0.152835186,-0.035358963,-0.051374762,0.028115902,0.03454331
-0.004335202,0.153982791,-0.049388027,-0.059042609,0.027442555,0.043403088
-0.00354339,0.155502564,-0.054613121,-0.061614985,0.027883845,0.046336207
-0.002665886,0.15682519,-0.060697141,-0.064633593,0.028252162,0.049834409
-0.00177893,0.157429663,-0.051105848,-0.058678727,0.030115501,0.043056015
-0.000863974,0.158117373,-0.043232405,-0.053691933,0.03183888,0.037392039
0.000240003,0.16049068,-0.054613121,-0.059621691,0.032082221,0.04415569
0.001956354,0.167856137,-0.089542622,-0.078701978,0.03154029,0.065540709
0.005203123,0.186192189,-0.190036496,-0.134488059,0.02794952,0.128133416
0.011246929,0.220528484,-0.387517002,-0.24429056,0.020209923,0.251512931
0.02115225,0.270373804,-0.629518271,-0.377530655,0.014608061,0.400606423
0.035481371,0.331187764,-0.825209354,-0.481944162,0.020109952,0.515728298
0.054294776,0.396816897,-0.958055983,-0.548039326,0.03699451,0.586816233
0.077218615,0.461550561,-1,-0.559959739,0.066534946,0.596278125
0.103696449,0.521826065,-0.987760359,-0.539007015,0.103511146,0.569164761
0.133145984,0.576369224,-0.938801795,-0.495480308,0.14529575,0.51745032
0.165093775,0.62558503,-0.894281001,-0.453176315,0.187245479,0.468506548
0.199177147,0.670611922,-0.856703153,-0.41371967,0.229092375,0.423962501
0.235164785,0.712842362,-0.842745691,-0.386773856,0.269228324,0.394743501
0.272821415,0.752471448,-0.842745691,-0.366934327,0.308544278,0.374512431
0.311912636,0.789674171,-0.834872219,-0.341834343,0.349219709,0.348878126
0.352217498,0.824330753,-0.840097343,-0.323589186,0.38882365,0.331828721
0.393430267,0.855654404,-0.829575552,-0.29585621,0.429986745,0.304497675
0.435241118,0.883243635,-0.81390021,-0.264859539,0.471241355,0.274076666
0.477424487,0.907896302,-0.792069276,-0.23014479,0.512715043,0.239870522
0.519759391,0.929379752,-0.796435475,-0.210338613,0.550739568,0.22341947
0.561962348,0.94745842,-0.767589994,-0.17160027,0.591346967,0.185530479
0.603888222,0.962981773,-0.76408275,-0.147504896,0.628412959,0.164900911
0.645406074,0.976501747,-0.756209278,-0.121126359,0.665127984,0.141831205
0.68633978,0.987314857,-0.765800571,-0.105047911,0.698860153,0.130947309
0.726430771,0.994849492,-0.737885618,-0.067954625,0.735106094,0.096034754
0.76549305,0.999161699,-0.730012175,-0.042869912,0.767619306,0.075260073
0.803287831,1,-0.701166695,-0.006453892,0.800508116,0.041595623
0.839595202,0.997119468,-0.683701959,0.022666969,0.830101791,0.016583222
0.874089455,0.989507834,-0.645265185,0.06283161,0.859331652,-0.020924725
0.906406614,0.976317313,-0.597165547,0.10737773,0.886500367,-0.063175639
0.935958763,0.95476817,-0.531672744,0.160418395,0.911278902,-0.114652469
0.961679185,0.91911799,-0.404122812,0.246945755,0.93615218,-0.203671918
0.98200251,0.862643774,-0.177796855,0.387143453,0.96212589,-0.352954027
0.995225965,0.782000599,0.141149534,0.576592535,0.986379219,-0.557276516
1,0.679262591,0.473981813,0.769534659,1,-0.764296171
0.995756287,0.562624976,0.757998701,0.929796455,0.997911148,-0.933489357
0.982875466,0.443136822,0.89256318,1,0.97245869,-1
0.962235851,0.328708119,0.897788275,0.992115454,0.92843169,-0.978650704
0.93484163,0.223017526,0.831364975,0.93967926,0.873661223,-0.908568449
0.901527625,0.125622274,0.743969667,0.872125289,0.814077042,-0.823561327
0.862808143,0.033652025,0.692434327,0.822240391,0.755408084,-0.761031166
0.819022568,-0.055106741,0.684560884,0.794667153,0.698199396,-0.725945904
0.770495474,-0.141310756,0.6959416,0.775611974,0.63994877,-0.702171445
0.717589537,-0.224676321,0.709899092,0.755724009,0.579239109,-0.678846043
0.660769203,-0.303933627,0.717772534,0.730292839,0.515830525,-0.650601066
0.600531076,-0.378513452,0.701166695,0.689055384,0.44829981,-0.605531073
0.537289414,-0.448715214,0.6959416,0.652746824,0.380707982,-0.56749414
0.471478586,-0.514333427,0.688927053,0.614060945,0.312047932,-0.527966863
0.403537926,-0.57512121,0.679335761,0.572778708,0.24264249,-0.48663287
0.333883611,-0.631145677,0.666237194,0.528587007,0.172703002,-0.443025604
0.26287588,-0.682815492,0.658363752,0.486671723,0.103338521,-0.403004436
0.190838592,-0.730479915,0.655786976,0.447244402,0.034724088,-0.366689011
0.118086281,-0.774200179,0.656645901,0.409406114,-0.033106094,-0.332958699
0.044962005,-0.813601598,0.654856478,0.369856719,-0.100435484,-0.29797229
-0.028211581,-0.848787292,0.64440626,0.325326057,-0.167675104,-0.257857175
-0.1011406,-0.879798154,0.643547364,0.286411862,-0.232664741,-0.22480519
-0.173550179,-0.906951989,0.632166619,0.241751256,-0.297404771,-0.18555709
-0.24523275,-0.930697826,0.637391743,0.206974672,-0.358961601,-0.158087705
-0.315980192,-0.951262344,0.635673892,0.168718445,-0.419730305,-0.126850942
-0.385617031,-0.968805786,0.64440626,0.137026239,-0.477764786,-0.103406781
-0.453890352,-0.982592889,0.64440626,0.101056265,-0.53472093,-0.075260283
-0.520525152,-0.992203344,0.630448798,0.057963986,-0.590832848,-0.039119761
-0.585305416,-0.998009705,0.615560809,0.015316348,-0.644639692,-0.003638059
-0.648022667,-1,0.607687367,-0.022231041,-0.695130465,0.025842478
-0.708343595,-0.996845646,0.588504751,-0.06498642,-0.743658389,0.061128998
-0.765806806,-0.986906449,0.540405142,-0.122780785,-0.791322343,0.113459221
-0.819717418,-0.966974591,0.471405066,-0.190661444,-0.835923504,0.17678168
-0.868911458,-0.931388898,0.32982607,-0.297582588,-0.880624817,0.284025674
-0.911811701,-0.874195549,0.098274989,-0.452664501,-0.924549397,0.445217991
-0.946846735,-0.793814155,-0.218023052,-0.6520897,-0.96551573,0.656063248
-0.973068049,-0.695448993,-0.510700736,-0.833357341,-0.992568579,0.845222229
-0.990316605,-0.587941618,-0.706391818,-0.954407579,-1,0.965374355
-0.999044992,-0.47948765,-0.778040212,-1,-0.98734136,1
-1,-0.375346701,-0.765800571,-0.993499686,-0.960756404,0.976753732
-0.993945994,-0.277334695,-0.704673968,-0.955336864,-0.925020304,0.919374707
-0.98155973,-0.185538972,-0.649631384,-0.917319071,-0.88652552,0.864531823
-0.963411388,-0.098913735,-0.591081527,-0.874258833,-0.844437995,0.80593649
-0.939877838,-0.015677322,-0.568391668,-0.848878348,-0.802790617,0.769533403
-0.911266014,0.065326445,-0.562236046,-0.830282239,-0.759481506,0.742471651
-0.877885613,0.144117418,-0.575334613,-0.820189948,-0.715037524,0.726667688
-0.84007053,0.220638516,-0.574475687,-0.799775553,-0.666205767,0.700267324
-0.798123542,0.294805288,-0.590222602,-0.786685172,-0.616492073,0.683635575
-0.75243409,0.365811507,-0.591081527,-0.763104985,-0.56305668,0.656188409
-0.703359718,0.433625208,-0.588433179,-0.73573486,-0.507396913,0.625602567
-0.651253941,0.498066053,-0.591081527,-0.70979806,-0.450770074,0.597869168
-0.596467483,0.55913388,-0.585856403,-0.677944149,-0.392051451,0.564401865
-0.539329202,0.616772386,-0.590222602,-0.650338776,-0.333368266,0.536898392
-0.480207037,0.670592709,-0.584925906,-0.616159731,-0.273059888,0.502808344
-0.41946909,0.720291952,-0.579700811,-0.581170384,-0.212524389,0.468762711
-0.357430836,0.766363366,-0.566602245,-0.540991128,-0.151041229,0.429547788
-0.294381671,0.808780612,-0.574475687,-0.512278275,-0.091908419,0.404377212
-0.230644607,0.847474721,-0.560518225,-0.470712633,-0.030847945,0.3650436
-0.166512092,0.882251057,-0.56574332,-0.43991383,0.02750493,0.338843442
-0.102404687,0.911943497,-0.545630236,-0.394631139,0.08726033,0.29663241
-0.038750553,0.935933843,-0.517715253,-0.345123521,0.146065526,0.250276975
0.023988072,0.953602171,-0.478348011,-0.289545987,0.203791804,0.197628767
0.085205928,0.963001991,-0.430319945,-0.229814354,0.25918272,0.141056524
0.143976136,0.960283952,-0.334192239,-0.143852585,0.314741885,0.055373247
0.198988289,0.940190629,-0.176079005,-0.024406276,0.369605653,-0.06733287
0.248482215,0.896457736,0.071218961,0.143158923,0.423720871,-0.243466923
0.290714731,0.827608532,0.411996284,0.360381735,0.475808899,-0.474986606
0.324594108,0.738926349,0.717772534,0.553178268,0.512681165,-0.677190212
0.349873212,0.640058444,0.936225048,0.691482169,0.530992785,-0.816773681
0.367111081,0.541114753,1,0.737052293,0.526549773,-0.850857935
0.377260741,0.449030323,0.958914908,0.718893141,0.507124482,-0.813824301
0.38135071,0.366507687,0.843604616,0.6550743,0.477453343,-0.726752196
0.380177837,0.292526856,0.733519449,0.591472065,0.446347981,-0.642400341
0.37430015,0.224669319,0.647913533,0.539396849,0.415687269,-0.573370682
0.364015294,0.159931782,0.605110591,0.50948892,0.386900779,-0.531462355
0.349514207,0.096676621,0.603321168,0.500825175,0.359538579,-0.515319638
0.330944004,0.033856569,0.608546292,0.494030964,0.329841535,-0.502331157
0.308497864,-0.02793911,0.639181166,0.499732593,0.300062781,-0.504838374
0.282501594,-0.087637901,0.633025544,0.482514531,0.26411684,-0.481941234
0.253281262,-0.144452938,0.638250668,0.470109192,0.227574341,-0.465776882
0.221157314,-0.198600982,0.613842958,0.439220075,0.186274459,-0.429279452
0.186355217,-0.250417848,0.626941525,0.42837866,0.147443661,-0.41693951
0.149212343,-0.299228176,0.613842958,0.401315643,0.10474669,-0.386807093
0.110144607,-0.343533878,0.610335685,0.378726107,0.06268708,-0.362960908
0.069781633,-0.381062058,0.557869877,0.327442924,0.016105961,-0.307213135
0.028852313,-0.409693979,0.492377075,0.268408138,-0.03007712,-0.24394946
-0.011680678,-0.426453668,0.380502485,0.183045312,-0.077906851,-0.151896496
-0.050764168,-0.429360794,0.230262693,0.076495733,-0.125210416,-0.037059966
-0.087433826,-0.418538634,0.058120395,-0.041313389,-0.169513741,0.0893097
-0.12104645,-0.396945114,-0.097416064,-0.148010995,-0.206961727,0.201910574
-0.151454371,-0.370144527,-0.198768864,-0.222019561,-0.23483882,0.27663477
-0.178949712,-0.343724155,-0.21186743,-0.243999754,-0.251152297,0.291868019
-0.204026478,-0.321362015,-0.167346637,-0.23173935,-0.260464897,0.26863154
-0.227231947,-0.304657113,-0.083458602,-0.195969399,-0.265544793,0.219457866
-0.248903263,-0.292036549,0.003936736,-0.157384515,-0.270072605,0.167984939
-0.269113969,-0.280826802,0.045880753,-0.144034713,-0.278638748,0.146258898
-0.287831126,-0.269197797,0.060768743,-0.14537791,-0.288804782,0.141814336
-0.304994868,-0.256483278,0.051964773,-0.159457724,-0.299999588,0.152301582
-0.320515248,-0.24193213,0.046739679,-0.17062414,-0.309067139,0.1595177
-0.334274547,-0.225362099,0.015317452,-0.195851259,-0.319033506,0.183105994
-0.346248793,-0.207327097,0.002218885,-0.209654133,-0.325288096,0.193661626
-0.356413688,-0.188153835,-0.017035273,-0.226025541,-0.330494747,0.207432404
-0.364866486,-0.169096956,-0.024049819,-0.234492261,-0.33308913,0.212462631
-0.371773178,-0.151123915,-0.011810178,-0.231128227,-0.332698114,0.20431541
-0.37723797,-0.13389252,0.005654587,-0.224015103,-0.330808321,0.192268523
-0.381260017,-0.116388942,0.007444009,-0.225110309,-0.329386139,0.190009245
-0.38382782,-0.098293125,-0.003936736,-0.232974525,-0.32807631,0.195826746
-0.384870501,-0.078708579,-0.012669104,-0.23852007,-0.324918291,0.199086495
-0.384322281,-0.057830607,-0.050246923,-0.259730996,-0.323255899,0.220645436
-0.382345218,-0.037674481,-0.056330972,-0.262170336,-0.317309084,0.220913795
-0.379203955,-0.019924872,-0.041514555,-0.252038322,-0.308832205,0.207257758
-0.375061818,-0.003777639,-0.003077811,-0.227864719,-0.297462896,0.177818949
-0.369881385,0.012452575,-0.010020756,-0.229107764,-0.290081771,0.178018478
-0.36364047,0.029336741,-0.017894198,-0.230324482,-0.281805706,0.178331906
-0.356332252,0.046653776,-0.041514555,-0.239988246,-0.274259088,0.188599997
-0.348075555,0.063288719,-0.045021828,-0.237644843,-0.264003593,0.185290413
-0.33898368,0.078957501,-0.039725132,-0.229824379,-0.252400624,0.175976813
-0.329142774,0.093774426,-0.036217888,-0.222633026,-0.240614674,0.16768922
-0.318597143,0.108207079,-0.034500038,-0.216094206,-0.228563447,0.160374809
-0.307356694,0.122616292,-0.044091331,-0.215659684,-0.217176014,0.160286914
-0.295404212,0.137492302,-0.052823698,-0.214358647,-0.205023433,0.159289177
-0.282762403,0.152309196,-0.076444055,-0.221212444,-0.193928175,0.167895034
-0.269490417,0.166980461,-0.072077886,-0.211722002,-0.179402632,0.157751684
-0.255599496,0.181475724,-0.09390882,-0.216893922,-0.167220428,0.164744279
-0.241217622,0.194971932,-0.089542622,-0.206818683,-0.152120428,0.154352709
-0.22643,0.207465345,-0.089542622,-0.199027824,-0.137417757,0.146846783
-0.211340607,0.218796624,-0.085176423,-0.188579897,-0.122305732,0.13650797
-0.196031758,0.229103707,-0.080810254,-0.178016265,-0.107278226,0.12623808
-0.180567282,0.238556383,-0.079951329,-0.169377348,-0.092715373,0.118358423
-0.165001847,0.247290366,-0.079951329,-0.161176701,-0.07834466,0.11111609
-0.149433132,0.254797085,-0.082528104,-0.154448539,-0.064552154,0.105761547
-0.133931462,0.261460303,-0.068570613,-0.138295797,-0.04926634,0.089610536
-0.118487093,0.267807824,-0.080810254,-0.137161711,-0.036888054,0.090874296
-0.10315635,0.273559382,-0.080810254,-0.129084731,-0.023447366,0.084166087
-0.087979383,0.278665652,-0.085176423,-0.123586778,-0.010752437,0.080503707
-0.073027168,0.282854597,-0.083458602,-0.11472629,0.002183636,0.07303535
-0.058361292,0.286117993,-0.079951329,-0.104992917,0.014854334,0.064629279
-0.043940439,0.289584643,-0.077302981,-0.095880035,0.02729247,0.056855321
-0.029719454,0.293224528,-0.103500113,-0.103376153,0.036552281,0.068231263
-0.015769088,0.296305299,-0.100064412,-0.094060625,0.048609009,0.060173176
-0.002018235,0.299912299,-0.106148461,-0.09029692,0.059629246,0.058416318
0.011478405,0.302712818,-0.131486639,-0.097683143,0.068203131,0.069625161
0.024490426,0.303191084,-0.101782263,-0.073832668,0.081666206,0.044919389
0.036989147,0.302636993,-0.085176423,-0.057746818,0.09307787,0.029235939
0.049038657,0.302250604,-0.088683696,-0.053405156,0.10204254,0.02701645
0.060662668,0.301882864,-0.103500113,-0.055758116,0.109477031,0.03244466
0.07191546,0.302139537,-0.102641188,-0.049338091,0.11844219,0.027542795
0.082845011,0.30259726,-0.13320449,-0.061066351,0.123865661,0.043539861
0.0933222,0.301914505,-0.121036421,-0.048584563,0.133190692,0.031585682
0.103273387,0.299964336,-0.114880829,-0.039819918,0.141148817,0.02400165
0.112582412,0.296374385,-0.098274989,-0.02541454,0.149305446,0.009987068
0.12122069,0.291947795,-0.080810254,-0.010871254,0.156819482,-0.004215851
0.129357427,0.288861622,-0.084317498,-0.008590996,0.162046948,-0.004540517
0.137137302,0.287103368,-0.124472122,-0.027466201,0.163432319,0.019338822
0.144526208,0.285411078,-0.127979395,-0.025579992,0.168421951,0.019092542
0.151522684,0.28353872,-0.134134987,-0.025415758,0.172778028,0.020776293
0.158026486,0.280434192,-0.130627714,-0.019982637,0.177467852,0.016433109
0.163915249,0.275725054,-0.107866282,-0.003857345,0.183321873,-0.000185627
0.169192223,0.270471825,-0.093049895,0.007399854,0.18771711,-0.01122945
0.173964731,0.26593658,-0.097416064,0.007416249,0.189858273,-0.00948619
0.178257558,0.261474825,-0.115739754,-0.000805759,0.190159218,0.001670831
0.182075123,0.257212034,-0.102641188,0.008699673,0.193476469,-0.007825756
0.185596895,0.254520875,-0.123613197,-0.00144377,0.193333841,0.00511609
0.18885958,0.252376194,-0.147233553,-0.013239016,0.192843244,0.019829186
0.191823712,0.250070797,-0.141077932,-0.008155443,0.195242671,0.014964703
0.194410323,0.246611034,-0.145444131,-0.009290747,0.195940847,0.017382459
0.19644579,0.241199239,-0.112232481,0.010783375,0.19971389,-0.004580867
0.197943529,0.235255727,-0.09390882,0.022056127,0.201351591,-0.016402362
0.198983221,0.229715043,-0.097416064,0.02059732,0.200411534,-0.013654122
0.19962652,0.22475101,-0.103500113,0.017455325,0.199031115,-0.009134048
0.199958922,0.220697083,-0.111373556,0.013125655,0.197443963,-0.003445609
0.199957525,0.216344007,-0.126261545,0.004606938,0.194775718,0.007059066
0.199582505,0.211753424,-0.101782263,0.018414965,0.19593875,-0.008324438
0.198930306,0.207683553,-0.117529177,0.009061869,0.19274039,0.002955268
0.197993976,0.203718211,-0.113162978,0.011066686,0.191482757,0.001010517
0.196736451,0.199148225,-0.117529177,0.007906047,0.188895264,0.00505997
0.195108551,0.194071904,-0.09390882,0.020562562,0.188865389,-0.009204677
0.193186905,0.189351204,-0.100064412,0.016028278,0.185530407,-0.00369467
0.190981551,0.18476464,-0.099133915,0.015398699,0.182759687,-0.002788146
0.188493721,0.180097507,-0.099133915,0.014088012,0.179648949,-0.001145818
0.185755998,0.175754269,-0.09219097,0.016617947,0.177160999,-0.004053261
0.182849297,0.172124447,-0.102641188,0.009107588,0.172870383,0.00451435
0.179781999,0.168716,-0.106148461,0.005484977,0.169246954,0.008513289
0.176610169,0.16598946,-0.103500113,0.005329081,0.166365567,0.008375184
0.17342174,0.164161549,-0.119246998,-0.005360185,0.16174043,0.020290018
0.170131866,0.161624513,-0.122754271,-0.009100093,0.158159861,0.024244566
0.166588525,0.157490812,-0.095698243,0.004512876,0.157230835,0.008295957
0.162834368,0.153423414,-0.074726205,0.014533964,0.155506864,-0.003553691
0.158965025,0.150007293,-0.091260472,0.003035519,0.14986974,0.009377805
0.155032469,0.147473488,-0.086035348,0.003953094,0.146714818,0.007795172
0.151173651,0.146353984,-0.10879678,-0.011102662,0.140996042,0.024505215
0.147372783,0.145449032,-0.118388073,-0.01859269,0.136775439,0.032441062
0.14363308,0.144823854,-0.109655705,-0.015566868,0.134619374,0.028179511
0.140003691,0.144628445,-0.121036421,-0.023990397,0.130519547,0.037129497
0.136517293,0.145081516,-0.116670252,-0.023329152,0.128366256,0.035502357
0.133205136,0.145833806,-0.134134987,-0.035066405,0.124104252,0.048219114
0.129996275,0.146194149,-0.121036421,-0.029262751,0.123073048,0.040717837
0.126858293,0.14603117,-0.120105923,-0.030383627,0.120674225,0.041323853
0.12375247,0.145521031,-0.103500113,-0.02251913,0.119879795,0.031590028
0.120755627,0.145643861,-0.107007357,-0.026104641,0.11719108,0.035038113
0.11791948,0.146446178,-0.116670252,-0.033127451,0.114143222,0.042399953
0.115174675,0.146667523,-0.121895346,-0.037562988,0.11149386,0.046874654
0.112460535,0.146420944,-0.098274989,-0.025478809,0.111817042,0.032307724
0.109812563,0.14619711,-0.106148461,-0.031378587,0.108851399,0.038564959
0.107245442,0.1463558,-0.095698243,-0.026752115,0.107991156,0.032602087
0.104920484,0.148181276,-0.113162978,-0.03796931,0.104769021,0.044783014
0.102850974,0.150457768,-0.137570688,-0.053024317,0.101121372,0.061396679
0.100913574,0.151874295,-0.123613197,-0.046059406,0.101439679,0.052684843
0.099068069,0.152699225,-0.113162978,-0.041052657,0.101310151,0.046347819
0.097311666,0.153393079,-0.106148461,-0.037964719,0.10085274,0.042271077
0.095619645,0.153724804,-0.107866282,-0.03983903,0.09942783,0.044005272
0.094019551,0.154488517,-0.094767716,-0.033187785,0.099756635,0.035830084
0.092614909,0.156184772,-0.117529177,-0.046950655,0.096660036,0.051185994
0.091394675,0.15820568,-0.118388073,-0.048084928,0.096115794,0.051921213
0.090346374,0.160142648,-0.125402619,-0.052650504,0.095031192,0.056679039

